date,prec,etp
2024-01-01,0.0,4.5
2024-01-02,12.3,3.2
2024-01-03,5.6,3.8
2024-01-04,0.0,4.2
2024-01-05,0.0,4.8
2024-01-06,8.9,3.1
2024-01-07,22.1,2.5
2024-01-08,15.4,2.8
2024-01-09,0.0,4.1
2024-01-10,0.0,4.6
2024-01-11,3.2,4.0
2024-01-12,0.0,4.4
2024-01-13,18.7,2.9
2024-01-14,31.2,2.2
2024-01-15,9.8,3.3
2024-01-16,0.0,4.5
2024-01-17,0.0,4.7
2024-01-18,0.0,4.9
2024-01-19,6.4,3.6
2024-01-20,14.2,3.0
2024-01-21,0.0,4.3
2024-01-22,0.0,4.6
2024-01-23,2.1,4.2
2024-01-24,0.0,4.8
2024-01-25,25.6,2.6
2024-01-26,18.3,2.9
2024-01-27,7.4,3.5
2024-01-28,0.0,4.4
2024-01-29,0.0,4.7
2024-01-30,4.8,3.9
2024-01-31,11.0,3.4
2024-02-01,0.0,4.5
2024-02-02,0.0,4.8
2024-02-03,19.3,2.7
2024-02-04,27.8,2.3
2024-02-05,6.1,3.6
2024-02-06,0.0,4.4
2024-02-07,0.0,4.6
2024-02-08,13.5,3.1
2024-02-09,8.2,3.4
2024-02-10,0.0,4.3
2024-02-11,0.0,4.7
2024-02-12,33.4,2.1
2024-02-13,21.6,2.4
2024-02-14,5.3,3.7
2024-02-15,0.0,4.5
2024-02-16,0.0,4.8
2024-02-17,0.0,4.9
2024-02-18,9.7,3.3
2024-02-19,16.4,3.0
2024-02-20,0.0,4.4
2024-02-21,0.0,4.6
2024-02-22,4.5,3.9
2024-02-23,0.0,4.7
2024-02-24,28.9,2.4
2024-02-25,14.1,3.1
2024-02-26,3.6,4.0
2024-02-27,0.0,4.5
2024-02-28,0.0,4.8
2024-02-29,7.8,3.5
